row_id,video_file,camera_file,frame_count,experiment,experiment_id,experiment_chr,experiment_num,ms4_block_flag,ms4_target_experiment,experiment_type,is_control,is_target_species,culture,well,days_from_start,species,site,season,collection_site,toxin_exposure,particle_type,particle_class,size_class,lux_exposure,ntu,cu_ug_l,bw_ug_l,mass_loading_ug_l,mobile_cell_count,stationary_cell_count,total_cells,motility_ratio,tile,tile_count,count_date_yyyy_mm_dd,start_date_yyyy_mm_dd,collection_date,release,year,preparation,comment,species_std,qc_recalc_total_cells,qc_recalc_motility_ratio,flag_missing_response_counts,flag_total_cell_count_le_zero,flag_inconsistent_count_totals,flag_missing_key_predictor,flag_unexpected_frame_count,flag_impossible_date_sequences,flag_negative_mobile_count,flag_negative_stationary_count,flag_negative_ntu,flag_negative_lux,flag_negative_mass_loading,qc_n_flags,qc_any_flag,qc_flag_reason,qc_flag_reason_pretty,exclude_missing_response_counts,exclude_total_cell_count_le_zero,exclude_missing_key_predictor,exclude_negative_mobile_count,exclude_negative_stationary_count,exclude_inconsistent_count_totals,exclude_unexpected_frame_count,exclude_impossible_date_sequences,exclude_negative_ntu,exclude_negative_lux,exclude_negative_mass_loading,exclusion_flag,exclusion_reason,exclusion_reason_pretty,stationary_ratio,experiment_num_chr,experiment_label_core,experiment_plot_group,log10_ntu_plus1,log10_bw_ug_l_plus1,lux_exposure_f,days_from_start_f,day_order,particle_type_plot,size_class_plot,treatment_group,brake_exposure,brake_size_treatment,use_exp1_light,use_exp2_defined_particles,use_exp3_brake_size,use_exp3_brake_presence,use_exp4_field_spm,day_label,ntu_band,lux_band,n_obs_experiment_day,n_obs_experiment_culture,n_obs_experiment_well,experiment_label,experiment_short_label,particle_label,particle_short_label,size_class_label
244,C1766,20241227_C1766_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24242,4,L. DIGITATA,BR,WINTER,Bognor,KAOLINITE,KAOLINITE,NA,NA,0,100,0,0,NA,39717,57799,97516,0.4072870093112925,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,97516,0.4072870093112925,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.5927129906887075,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.0043213737826426,0,0 lux,4,1,KAOLINITE,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,100-<400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Kaolinite,Kaolinite,NA
245,C1767,20241227_C1767_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24243,4,L. DIGITATA,BR,WINTER,Bognor,KAOLINITE,KAOLINITE,NA,NA,0,100,0,0,NA,28478,43024,71502,0.39828256552264274,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,71502,0.39828256552264274,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.6017174344773573,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.0043213737826426,0,0 lux,4,1,KAOLINITE,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,100-<400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Kaolinite,Kaolinite,NA
246,C1768,20241227_C1768_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24244,4,L. DIGITATA,BR,WINTER,Bognor,KAOLINITE,KAOLINITE,NA,NA,0,400,0,0,NA,44088,66444,110532,0.3988709152100749,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,110532,0.3988709152100749,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.6011290847899251,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.603144372620182,0,0 lux,4,1,KAOLINITE,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,>=400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Kaolinite,Kaolinite,NA
247,C1770,20241227_C1770_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24245,4,L. DIGITATA,BR,WINTER,Bognor,KAOLINITE,KAOLINITE,NA,NA,0,400,0,0,NA,42777,63904,106681,0.40098049324622004,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,106681,0.40098049324622004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.5990195067537799,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.603144372620182,0,0 lux,4,1,KAOLINITE,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,>=400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Kaolinite,Kaolinite,NA
248,C1771,20241227_C1771_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24246,4,L. DIGITATA,BR,WINTER,Bognor,KAOLINITE,KAOLINITE,NA,NA,0,400,0,0,NA,43405,66748,110153,0.3940428313345982,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,110153,0.3940428313345982,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.6059571686654017,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.603144372620182,0,0 lux,4,1,KAOLINITE,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,>=400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Kaolinite,Kaolinite,NA
249,C1773,20241227_C1773_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24251,4,L. DIGITATA,BR,WINTER,Bognor,SAND,SAND,NA,NA,0,100,0,0,NA,2852,5174,8026,0.35534512833291804,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,8026,0.35534512833291804,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.644654871667082,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.0043213737826426,0,0 lux,4,1,SAND,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,100-<400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Sand,Sand,NA
250,C1774,20241227_C1774_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24252,4,L. DIGITATA,BR,WINTER,Bognor,SAND,SAND,NA,NA,0,100,0,0,NA,1130,2630,3760,0.300531914893617,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,3760,0.300531914893617,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.699468085106383,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.0043213737826426,0,0 lux,4,1,SAND,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,100-<400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Sand,Sand,NA
251,C1775,20241227_C1775_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24253,4,L. DIGITATA,BR,WINTER,Bognor,SAND,SAND,NA,NA,0,100,0,0,NA,33673,54215,87888,0.3831353540870198,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,87888,0.3831353540870198,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.6168646459129802,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.0043213737826426,0,0 lux,4,1,SAND,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,100-<400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Sand,Sand,NA
252,C1776,20241227_C1776_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24254,4,L. DIGITATA,BR,WINTER,Bognor,SAND,SAND,NA,NA,0,400,0,0,NA,45402,68327,113729,0.3992121622453376,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,113729,0.3992121622453376,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.6007878377546624,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.603144372620182,0,0 lux,4,1,SAND,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,>=400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Sand,Sand,NA
253,C1777,20241227_C1777_clip.mp4,504,10.2,NA,10.2,10.2,TRUE,EXP2_DEFINED_PARTICLES,DEFINED_PARTICLES,FALSE,TRUE,52,24255,4,L. DIGITATA,BR,WINTER,Bognor,SAND,SAND,NA,NA,0,400,0,0,NA,29602,45584,75186,0.39371691538318304,none,NA,NA,NA,NA,NA,2024,NA,100 NTU,LAMINARIA DIGITATA,75186,0.39371691538318304,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.606283084616817,10.2,DEFINED_PARTICLES,EXP2_DEFINED_PARTICLES,2.603144372620182,0,0 lux,4,1,SAND,NA,DEFINED_PARTICLES,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,Day 4,>=400 NTU,0 lux,27,108,4,Experiment 2: Defined particle concentration series,Exp. 2 Defined particles,Sand,Sand,NA
