video_file,camera_file,frame_count,mobile_cell_count,stationary_cell_count,total_cells,motility_ratio,count_date_yyyy_mm_dd,start_date_yyyy_mm_dd,species,site,culture,experiment,well,days_from_start,toxin_exposure,cu_ug_l,ntu,tile,tile_count,lux_exposure,comment,collection_date,year,season,collection_site,preparation,release,non_mobile_count,video_file_name,experiment_chr,experiment_block,experiment_suffix,species_std,spm_material,brake_type,brake_class,log_ntu,lux_f
C1791,20241227_C1791_clip.mp4,504,6940,11316,18256,0.3801489921121823,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24276,4,none,0,0,none,NA,70,70 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,11316,C1791,9.2,9,2,L. digitata,NA,Control,NA,0,70
C1792,20241227_C1792_clip.mp4,504,40507,61467,101974,0.3972287053562673,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24281,4,none,0,0,none,NA,117,117 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,61467,C1792,9.2,9,2,L. digitata,NA,Control,NA,0,117
C1795,20241227_C1795_clip.mp4,504,42152,67927,110079,0.3829249902342863,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24282,4,none,0,0,none,NA,117,117 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,67927,C1795,9.2,9,2,L. digitata,NA,Control,NA,0,117
C1796,20241227_C1796_clip.mp4,504,45075,68182,113257,0.39798864529344763,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24283,4,none,0,0,none,NA,117,117 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,68182,C1796,9.2,9,2,L. digitata,NA,Control,NA,0,117
C1797,20241227_C1797_clip.mp4,504,923,1916,2839,0.32511447692849593,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24284,4,none,0,0,none,NA,117,117 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,1916,C1797,9.2,9,2,L. digitata,NA,Control,NA,0,117
C1798,20241227_C1798_clip.mp4,504,45071,66303,111374,0.40468152351536263,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24285,4,none,0,0,none,NA,117,117 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,66303,C1798,9.2,9,2,L. digitata,NA,Control,NA,0,117
C1800,20241227_C1800_clip.mp4,504,40540,61498,102038,0.3973029655618495,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24286,4,none,0,0,none,NA,117,117 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,61498,C1800,9.2,9,2,L. digitata,NA,Control,NA,0,117
C1802,20241227_C1802_clip.mp4,504,41987,63307,105294,0.39875966341861835,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24291,4,none,0,0,none,NA,117,117 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,63307,C1802,9.2,9,2,L. digitata,NA,Control,NA,0,117
C1804,20241227_C1804_clip.mp4,504,40243,62079,102322,0.3932976290533805,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24292,4,none,0,0,none,NA,4,4 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,62079,C1804,9.2,9,2,L. digitata,NA,Control,NA,0,4
C1805,20241227_C1805_clip.mp4,504,4397,7517,11914,0.369061608192043,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24293,4,none,0,0,none,NA,4,4 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,7517,C1805,9.2,9,2,L. digitata,NA,Control,NA,0,4
C1806,20241227_C1806_clip.mp4,504,41155,60677,101832,0.404146044465394,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24294,4,none,0,0,none,NA,4,4 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,60677,C1806,9.2,9,2,L. digitata,NA,Control,NA,0,4
C1807,20241227_C1807_clip.mp4,504,42005,62804,104809,0.40077665086013603,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24295,4,none,0,0,none,NA,4,4 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,62804,C1807,9.2,9,2,L. digitata,NA,Control,NA,0,4
C1808,20241227_C1808_clip.mp4,504,38482,60110,98592,0.39031564427134047,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24296,4,none,0,0,none,NA,4,4 Lux (12:12),13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,60110,C1808,9.2,9,2,L. digitata,NA,Control,NA,0,4
C1809,20241227_C1809_clip.mp4,504,28786,47114,75900,0.379262187088274,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24301,4,none,0,0,none,NA,0,0 Lux,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,47114,C1809,9.2,9,2,L. digitata,NA,Control,NA,0,0
C1810,20241227_C1810_clip.mp4,504,43928,64322,108250,0.4058013856812933,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24302,4,none,0,0,none,NA,0,0 Lux,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,64322,C1810,9.2,9,2,L. digitata,NA,Control,NA,0,0
C1811,20241227_C1811_clip.mp4,504,47486,71464,118950,0.3992097519966372,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24303,4,none,0,0,none,NA,0,0 Lux,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,71464,C1811,9.2,9,2,L. digitata,NA,Control,NA,0,0
C1812,20241227_C1812_clip.mp4,504,46262,70485,116747,0.39625857623750504,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24304,4,none,0,0,none,NA,0,0 Lux,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,70485,C1812,9.2,9,2,L. digitata,NA,Control,NA,0,0
C1813,20241227_C1813_clip.mp4,504,43845,65460,109305,0.40112529161520516,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24305,4,none,0,0,none,NA,0,0 Lux,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,65460,C1813,9.2,9,2,L. digitata,NA,Control,NA,0,0
C1814,20241227_C1814_clip.mp4,504,42681,63495,106176,0.40198349909584086,2024-12-27,2024-12-23,L. digitata,BR,52,9.2,24306,4,none,0,0,none,NA,0,0 Lux,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,63495,C1814,9.2,9,2,L. digitata,NA,Control,NA,0,0
C1819,20241231_C1819_clip.MP4,504,42293,63273,105566,0.40063088494401605,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24221,8,CONTROL,0,0,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,63273,C1819,10.2,10,2,L. digitata,Control,Control,NA,0,0
C1820,20241231_C1820_clip.MP4,504,1228,2509,3737,0.3286058335563286,2024-12-31,2024-12-23,L. digitata,BR,52,10.2,24222,8,CONTROL,0,0,none,NA,0,NA,13/12/2024,2024,Winter,Bognor,2024-12-19,2024-12-20,2509,C1820,10.2,10,2,L. digitata,Control,Control,NA,0,0
