HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,09/10/2024 10:59:10,23,9364430,5.394505,8388481,0.038709,12130955,19.026098,3070126,1.001424,0.111600,2135.399902,1891.879433,,-1.000000,,3783.758789,
Sample,09/10/2024 10:59:11,23,9364426,5.394483,8388479,0.038698,12132313,19.010548,3069979,1.001375,0.176100,2136.899902,1893.147322,,-1.000000,,3786.294678,
Sample,09/10/2024 10:59:12,23,9364433,5.394522,8388485,0.038731,12133390,18.998217,3069593,1.001249,11.500000,2257.500000,1995.085750,,-1.000000,,3990.171387,
Sample,09/10/2024 10:59:13,23,9364439,5.394555,8388477,0.038687,12134197,18.988979,3068768,1.000978,117.569992,2632.199951,2311.804595,,-1.000000,,4623.609375,
Sample,09/10/2024 10:59:14,23,9364451,5.394621,8388484,0.038725,12134284,18.987983,3068651,1.000939,1.653700,2137.699951,1893.823572,,-1.000000,,3787.647217,
Sample,09/10/2024 10:59:15,23,9364458,5.394659,8388481,0.038709,12133914,18.992218,3067973,1.000716,17.468000,2174.399902,1924.844569,,-1.000000,,3849.689209,
Sample,09/10/2024 10:59:16,23,9364451,5.394621,8388478,0.038692,12134509,18.985407,3068085,1.000753,8.180400,2155.100098,1908.531218,,-1.000000,,3817.062500,
Sample,09/10/2024 10:59:17,23,9364464,5.394692,8388482,0.038714,12135607,18.972838,3067954,1.000710,5.013300,2145.899902,1900.754662,,-1.000000,,3801.509277,
Sample,09/10/2024 10:59:18,23,9364460,5.394670,8388484,0.038725,12136499,18.962628,3067997,1.000724,5.829900,2146.800049,1901.515519,,-1.000000,,3803.031006,
Sample,09/10/2024 10:59:19,23,9364451,5.394621,8388477,0.038687,12137192,18.954697,3068329,1.000833,5.833200,2142.699951,1898.049871,,-1.000000,,3796.099854,
Sample,09/10/2024 10:59:20,23,9364452,5.394626,8388481,0.038709,12137758,18.948219,3068312,1.000828,5.825200,2141.000000,1896.612971,,-1.000000,,3793.225830,
Sample,09/10/2024 10:59:21,23,9364470,5.394725,8388484,0.038725,12138228,18.942840,3068283,1.000818,5.822900,2138.600098,1894.584429,,-1.000000,,3789.168945,
Sample,09/10/2024 10:59:22,23,9364465,5.394698,8388477,0.038687,12138658,18.937920,3068162,1.000778,5.823400,2134.899902,1891.456803,,-1.000000,,3782.913574,
Sample,09/10/2024 10:59:23,23,9364485,5.394808,8388480,0.038703,12139030,18.933663,3068224,1.000799,5.822200,2134.699951,1891.287792,,-1.000000,,3782.575684,
Sample,09/10/2024 10:59:24,23,9364472,5.394736,8388480,0.038703,12139406,18.929360,3068162,1.000778,5.822200,2133.000000,1889.850891,,-1.000000,,3779.701904,
Sample,09/10/2024 10:59:25,23,9364473,5.394742,8388485,0.038731,12139752,18.925401,3068107,1.000760,5.821000,2132.500000,1889.428261,,-1.000000,,3778.856445,
Sample,09/10/2024 10:59:26,23,9364471,5.394731,8388478,0.038692,12140081,18.921637,3068466,1.000878,5.818800,2131.399902,1888.498393,,-1.000000,,3776.996826,
Sample,09/10/2024 10:59:27,23,9364492,5.394846,8388476,0.038681,12140391,18.918090,3068273,1.000815,5.820200,2130.699951,1887.906752,,-1.000000,,3775.813477,
Sample,09/10/2024 10:59:28,23,9364491,5.394841,8388478,0.038692,12140677,18.914817,3068366,1.000845,5.820800,2130.800049,1887.991361,,-1.000000,,3775.982666,
Sample,09/10/2024 10:59:29,23,9364495,5.394863,8388484,0.038725,12140942,18.911785,3068414,1.000861,5.821900,2129.100098,1886.554460,,-1.000000,,3773.108887,
Sample,09/10/2024 10:59:30,23,9364495,5.394863,8388483,0.038720,12141193,18.908914,3068481,1.000883,5.818000,2129.000000,1886.469852,,-1.000000,,3772.939697,
Sample,09/10/2024 10:59:31,23,9364494,5.394857,8388479,0.038698,12141424,18.906271,3068347,1.000839,5.813900,2126.699951,1884.525713,,-1.000000,,3769.051514,
Sample,09/10/2024 10:59:32,23,9364487,5.394819,8388483,0.038720,12141647,18.903720,3068331,1.000834,5.819400,2124.600098,1882.750791,,-1.000000,,3765.501465,
Sample,09/10/2024 10:59:33,23,9364495,5.394863,8388480,0.038703,12141890,18.900940,3068376,1.000849,5.816600,2126.199951,1884.103083,,-1.000000,,3768.206055,
Sample,09/10/2024 10:59:34,23,9364496,5.394868,8388479,0.038698,12142100,18.898537,3068313,1.000828,5.816100,2123.500000,1881.820922,,-1.000000,,3763.641846,
Sample,09/10/2024 10:59:35,23,9364498,5.394879,8388484,0.038725,12142298,18.896272,3068369,1.000846,5.813399,2125.100098,1883.173421,,-1.000000,,3766.346924,
Sample,09/10/2024 10:59:36,23,9364487,5.394819,8388485,0.038731,12142493,18.894041,3068391,1.000854,5.812500,2123.899902,1882.158944,,-1.000000,,3764.317871,
Sample,09/10/2024 10:59:37,23,9364493,5.394852,8388480,0.038703,12142667,18.892051,3068426,1.000865,5.815600,2123.500000,1881.820922,,-1.000000,,3763.641846,
Sample,09/10/2024 10:59:38,23,9364491,5.394841,8388480,0.038703,12142827,18.890221,3068312,1.000828,5.815400,2122.399902,1880.891054,,-1.000000,,3761.782227,
Sample,09/10/2024 10:59:39,23,9364504,5.394912,8388480,0.038703,12142992,18.888333,3068353,1.000841,5.812400,2120.500000,1879.285143,,-1.000000,,3758.570312,
Sample,09/10/2024 10:59:40,23,9364511,5.394951,8388482,0.038714,12143144,18.886594,3068337,1.000836,5.811601,2122.000000,1880.553032,,-1.000000,,3761.105957,
Sample,09/10/2024 10:59:41,23,9364507,5.394929,8388483,0.038720,12143300,18.884810,3068308,1.000826,5.870200,2121.399902,1880.045794,,-1.000000,,3760.091553,
Sample,09/10/2024 10:59:42,23,9364466,5.394703,8388479,0.038698,12143613,18.881230,3068303,1.000825,687.420044,2746.800049,2408.671462,,-1.000000,,4817.342773,
Sample,09/10/2024 10:59:43,23,9365743,5.401724,8388483,0.038720,12306001,17.035210,3110262,1.014612,1700.400024,1621.800049,1457.754069,,0.022653,,2915.508057,
Sample,09/10/2024 10:59:44,23,9365797,5.402021,8388484,0.038725,12479959,15.077003,3148427,1.027154,1681.000000,1623.500000,1459.190970,,0.263267,,2918.381836,
Sample,09/10/2024 10:59:45,23,9365834,5.402224,8388486,0.038736,12556397,14.220458,3162496,1.031778,1691.000000,1574.800049,1418.026854,,0.346133,,2836.053711,
Sample,09/10/2024 10:59:46,23,9365864,5.402389,8388478,0.038692,12587264,13.874963,3174865,1.035843,1662.099976,1587.300049,1428.592603,,0.416841,,2857.185303,
Sample,09/10/2024 10:59:47,23,9365876,5.402455,8388478,0.038692,12600097,13.731369,3183995,1.038843,1671.500000,1547.900024,1395.289342,,0.467866,,2790.578613,
Sample,09/10/2024 10:59:48,23,9365886,5.402510,8388480,0.038703,12604385,13.683394,3185067,1.039196,1659.099976,1534.300049,1383.793828,,0.473796,,2767.587646,
Sample,09/10/2024 10:59:49,23,9365900,5.402587,8388481,0.038709,12605955,13.665829,3185025,1.039182,1644.800049,1549.300049,1396.472726,,0.473564,,2792.945557,
Sample,09/10/2024 10:59:50,23,9365913,5.402659,8388478,0.038692,12606679,13.657729,3196458,1.042940,1607.199951,1533.800049,1383.371198,,0.536056,,2766.742432,
Sample,09/10/2024 10:59:51,23,9365929,5.402747,8388483,0.038720,12605723,13.668424,3184805,1.039110,1588.599976,1495.500000,1350.997702,,0.472348,,2701.995361,
Sample,09/10/2024 10:59:52,23,9365950,5.402862,8388480,0.038703,12603338,13.695107,3184837,1.039120,1614.300049,1463.099976,1323.611260,,0.472525,,2647.222412,
Sample,09/10/2024 10:59:53,23,9365969,5.402967,8388480,0.038703,12600171,13.730541,3184809,1.039111,1618.000000,1436.500000,1301.127368,,0.472370,,2602.254639,
Sample,09/10/2024 10:59:54,23,9365987,5.403066,8388483,0.038720,12596840,13.767811,3184823,1.039116,1613.699951,1459.800049,1320.821965,,0.472447,,2641.644043,
