Channel Setup, Not Averaged, Gain x1, Keep Powered, Interval Multiplier x1,,,,,,,,,,,,
[LOGGER CHANNEL 7],Disabled,,,,,,,,,,,,,,,
Sample,25/04/2023 15:02,23,,,12815290,11.323731,4049355,1.323605,2.7804,-68.759995,2.274915,,4.006945,,4.54983,
Sample,25/04/2023 15:02,23,,,12817022,11.304329,4082395,1.334491,2.0353,-69.540001,1.662187,,4.127362,,3.324374,
Sample,25/04/2023 15:02,23,,,12818108,11.292163,4114917,1.345207,2.2623,-68.400002,1.848859,,4.24559,,3.697718,
Sample,25/04/2023 15:02,23,9416040,5.678251,12819212,11.279795,4155949,1.358728,2.9873,-67.559998,2.445059,,4.394363,,4.890117,
Sample,25/04/2023 15:02,23,,,12819981,11.27118,4231709,1.383697,2.6155,-70.959999,2.139311,,4.668033,,4.278622,
Sample,25/04/2023 15:02,23,,,12820678,11.263372,4241758,1.387009,2.3694,-71.93,1.936932,,4.704242,,3.873864,
Sample,25/04/2023 15:02,23,,,12821321,11.256168,4249167,1.389451,1.9919,-68.509995,1.626497,,4.730927,,3.252995,
Sample,25/04/2023 15:02,23,,,12821889,11.249805,4239624,1.386306,2.7856,-70.900002,2.279192,,4.696554,,4.558383,
Sample,25/04/2023 15:02,23,,,12821869,11.250029,4270894,1.396613,2.4811,-68.159996,2.028788,,4.809119,,4.057576,
Sample,25/04/2023 15:02,23,,,12822678,11.240965,4380046,1.4326,2.8129,-71.279999,2.301642,,5.200704,,4.603283,
Sample,25/04/2023 15:02,23,,,12824213,11.223767,4409511,1.442316,3.6045,-70.889999,2.952609,,5.306095,,5.905219,
Sample,25/04/2023 15:02,23,,,12824925,11.21579,4452507,1.456495,2.4059,-70.809998,1.966948,,5.45967,,3.933895,
Sample,25/04/2023 15:03,23,,,12825628,11.207913,4417690,1.445013,2.7629,-69.490005,2.260524,,5.335328,,4.521049,
Sample,25/04/2023 15:03,23,,,12825452,11.209885,4435177,1.45078,2.354,-70.580002,1.924268,,5.397799,,3.848536,
Sample,25/04/2023 15:03,23,,,12825753,11.206513,4559357,1.491739,2.3854,-70.879997,1.95009,,5.840346,,3.900179,
Sample,25/04/2023 15:03,23,,,12826591,11.197123,4566985,1.494255,3.2193,-72.120003,2.635842,,5.867474,,5.271685,
Sample,25/04/2023 15:03,23,,,12826746,11.195387,4565526,1.493774,3.0081,-71.32,2.462163,,5.862286,,4.924326,
Sample,25/04/2023 15:03,23,,,12827251,11.189728,4584266,1.499956,3.031,-68.889999,2.480995,,5.92891,,4.96199,
Sample,25/04/2023 15:03,23,,,12827962,11.181762,4698980,1.537807,5.2328,-71.139999,4.291632,,6.336026,,8.583263,
Sample,25/04/2023 15:03,23,,,12828778,11.172618,4760349,1.558061,2.8934,-71.639999,2.36784,,6.553372,,4.735681,
Sample,25/04/2023 15:03,23,,,12829088,11.169145,4771759,1.561827,2.4149,-71.330002,1.974349,,6.593751,,3.948697,
Sample,25/04/2023 15:03,23,,,12828892,11.171341,4767457,1.560407,3.0169,-71.129997,2.4694,,6.578528,,4.9388,
Sample,25/04/2023 15:03,23,,,12828514,11.175576,4845963,1.586321,4.8849,-70.900002,4.005539,,6.856134,,8.011077,
Sample,25/04/2023 15:03,23,9415869,5.677311,12828782,11.172573,4898540,1.60368,3.5868,-71.150002,2.938054,,7.041832,,5.876108,
Sample,25/04/2023 15:03,23,,,12828973,11.170433,4897118,1.60321,3.1039,-71.270004,2.540944,,7.036812,,5.081887,
Sample,25/04/2023 15:03,23,,,12828894,11.171318,4911690,1.608021,4.3153,-69.559998,3.537131,,7.088252,,7.074262,
Sample,25/04/2023 15:03,23,,,12828893,11.17133,4926893,1.613041,2.8877,-72.099998,2.363153,,7.141906,,4.726306,
Sample,25/04/2023 15:03,23,,,12828726,11.173201,4963807,1.625231,3.317,-69.809998,2.716185,,7.272131,,5.432371,
Sample,25/04/2023 15:03,23,,,12828961,11.170568,5085435,1.665401,2.7408,-70.709999,2.242351,,7.700729,,4.484702,
Sample,25/04/2023 15:03,23,,,12829649,11.162858,5139581,1.683288,4.4388,-71.559998,3.638691,,7.89132,,7.277381,
Sample,25/04/2023 15:03,23,,,12829841,11.160707,5158764,1.689625,3.027,-71.360001,2.477705,,7.958815,,4.955411,
Sample,25/04/2023 15:03,23,,,12829736,11.161883,5284158,1.73106,3.3121,-71.199997,2.712156,,8.399682,,5.424312,
Sample,25/04/2023 15:03,23,,,12830046,11.15841,5274147,1.727751,2.9311,-71.610001,2.398843,,8.364504,,4.797686,
Sample,25/04/2023 15:03,23,,,12829964,11.159329,5316256,1.741668,3.2831,-70.93,2.688308,,8.51245,,5.376616,
Sample,25/04/2023 15:03,23,,,12830067,11.158174,5395837,1.767972,3.8419,-71.360001,3.147834,,8.791907,,6.295667,
Sample,25/04/2023 15:03,23,,,12830313,11.155418,5553373,1.820059,3.5976,-70.610001,2.946935,,9.344629,,5.89387,
Sample,25/04/2023 15:03,23,,,12830813,11.149815,5536190,1.814377,2.4173,-71.300003,1.976322,,9.284369,,3.952645,
Sample,25/04/2023 15:03,23,,,12830579,11.152437,5527545,1.811518,3.6145,-71.900002,2.960833,,9.254049,,5.921665,
Sample,25/04/2023 15:03,23,,,12830124,11.157536,5563189,1.823305,3.2617,-70.889999,2.670709,,9.37905,,5.341419,
Sample,25/04/2023 15:03,23,,,12830034,11.158544,5619737,1.842007,2.8754,-72.639999,2.353038,,9.577305,,4.706076,
Sample,25/04/2023 15:03,23,,,12830223,11.156426,5769568,1.891571,3.9519,-69.849998,3.238292,,10.102322,,6.476583,
Sample,25/04/2023 15:03,23,,,12830929,11.148515,5774343,1.893151,7.1031,-70.379997,5.829662,,10.119048,,11.659324,
Sample,25/04/2023 15:03,23,,,12830885,11.149008,5760949,1.888719,4.4115,-68.370003,3.616241,,10.072131,,7.232482,
Sample,25/04/2023 15:03,23,9415746,5.676634,12830767,11.15033,5667374,1.857763,2.5481,-71.610001,2.083885,,9.74427,,4.16777,
Sample,25/04/2023 15:03,23,,,12830542,11.152852,5676021,1.860623,2.8133,-69.509995,2.301971,,9.774573,,4.603941,
Sample,25/04/2023 15:03,23,,,12830695,11.151137,5699047,1.86824,2.237,-73.529999,1.828054,,9.85526,,3.656107,
Sample,25/04/2023 15:03,23,,,12830730,11.150745,5689897,1.865214,2.9697,-70.690002,2.430585,,9.823198,,4.861171,
Sample,25/04/2023 15:03,23,,,12830730,11.150745,5613697,1.840009,3.1569,-73.509995,2.584528,,9.556132,,5.169056,
Sample,25/04/2023 15:03,23,,,12830581,11.152415,5490361,1.799223,3.5514,-71.580002,2.908943,,9.123619,,5.817885,
Sample,25/04/2023 15:03,23,,,12830973,11.148022,5507030,1.804734,3.5442,-72.490005,2.903022,,9.182092,,5.806043,
Sample,25/04/2023 15:03,23,,,12830991,11.14782,5509468,1.80554,2.7372,-69.740005,2.23939,,9.190644,,4.47878,
Sample,25/04/2023 15:03,23,,,12830594,11.152269,5493809,1.800363,2.9264,-71.25,2.394977,,9.135714,,4.789955,
Sample,25/04/2023 15:03,23,,,12830130,11.157468,5514662,1.807258,3.1287,-72.659996,2.561338,,9.208863,,5.122675,
Sample,25/04/2023 15:03,23,,,12829949,11.159497,5512709,1.806612,2.0466,-71.330002,1.671479,,9.202013,,3.342959,
