HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,16/10/2024 16:18:41,23,9358415,5.361436,8388480,0.038703,12666757,12.985742,3120093,1.017842,125.819992,-41.629997,103.455794,,0.087139,,206.911591,
Sample,16/10/2024 16:18:42,23,9358386,5.361276,8388479,0.038698,12666544,12.988124,3120080,1.017838,123.650002,-46.040001,101.671315,,0.087055,,203.342636,
Sample,16/10/2024 16:18:43,23,9358389,5.361293,8388480,0.038703,12666425,12.989455,3119839,1.017759,122.930008,-44.849998,101.079232,,0.085497,,202.158463,
Sample,16/10/2024 16:18:44,23,9358355,5.361106,8388481,0.038709,12666409,12.989634,3119849,1.017762,121.750000,-44.650002,100.108860,,0.085562,,200.217712,
Sample,16/10/2024 16:18:45,23,9358335,5.360996,8388481,0.038709,12666480,12.988840,3119842,1.017760,120.819992,-45.020000,99.344073,,0.085516,,198.688141,
Sample,16/10/2024 16:18:46,23,9358323,5.360930,8388478,0.038692,12666623,12.987241,3119807,1.017748,120.419998,-46.470001,99.015141,,0.085290,,198.030289,
Sample,16/10/2024 16:18:47,23,9358308,5.360847,8388479,0.038698,12666892,12.984232,3119790,1.017743,119.709999,-46.660000,98.431277,,0.085180,,196.862549,
Sample,16/10/2024 16:18:48,23,9358271,5.360644,8388480,0.038703,12667246,12.980273,3119798,1.017746,119.230003,-48.500000,98.036556,,0.085232,,196.073105,
Sample,16/10/2024 16:18:49,23,9358250,5.360529,8388482,0.038714,12667659,12.975655,3119866,1.017768,119.230003,-46.250000,98.036556,,0.085672,,196.073105,
Sample,16/10/2024 16:18:50,23,9358235,5.360446,8388484,0.038725,12668136,12.970320,3119978,1.017805,119.990005,-47.250000,98.661539,,0.086396,,197.323074,
Sample,16/10/2024 16:18:51,23,9358207,5.360292,8388480,0.038703,12668656,12.964504,3119880,1.017772,121.069992,-46.349998,99.549659,,0.085762,,199.099319,
Sample,16/10/2024 16:18:52,23,9358205,5.360281,8388482,0.038714,12669211,12.958297,3119889,1.017775,120.860001,-47.939999,99.376974,,0.085820,,198.753952,
Sample,16/10/2024 16:18:53,23,9358206,5.360287,8388480,0.038703,12669764,12.952113,3119911,1.017783,119.610001,-48.950001,98.349044,,0.085963,,196.698090,
Sample,16/10/2024 16:18:54,23,9358164,5.360056,8388482,0.038714,12670315,12.945950,3119965,1.017800,118.180008,-50.420002,97.173098,,0.086312,,194.346191,
Sample,16/10/2024 16:18:55,23,9358154,5.360001,8388481,0.038709,12670881,12.939620,3119980,1.017805,117.490005,-50.700001,96.605679,,0.086409,,193.211365,
Sample,16/10/2024 16:18:56,23,9358129,5.359863,8388482,0.038714,12671380,12.934040,3119975,1.017804,117.059998,-49.709999,96.252064,,0.086376,,192.504135,
Sample,16/10/2024 16:18:57,23,9358111,5.359764,8388480,0.038703,12671847,12.928817,3119971,1.017802,116.780006,-50.860001,96.021815,,0.086351,,192.043625,
Sample,16/10/2024 16:18:58,23,9358087,5.359632,8388479,0.038698,12672312,12.923616,3119947,1.017794,117.139999,-50.900002,96.317853,,0.086195,,192.635712,
Sample,16/10/2024 16:18:59,23,9358087,5.359632,8388481,0.038709,12672746,12.918763,3119998,1.017811,117.449997,-49.180000,96.572778,,0.086525,,193.145554,
Sample,16/10/2024 16:19:00,23,9358042,5.359385,8388482,0.038714,12673161,12.914121,3120176,1.017870,116.900002,-51.509998,96.120492,,0.087676,,192.240982,
Sample,16/10/2024 16:19:01,23,9358049,5.359423,8388478,0.038692,12673536,12.909927,3120086,1.017840,116.480003,-52.230000,95.775109,,0.087094,,191.550217,
Sample,16/10/2024 16:19:02,23,9358015,5.359237,8388481,0.038709,12673885,12.906024,3120113,1.017849,116.409996,-51.110001,95.717539,,0.087269,,191.435074,
Sample,16/10/2024 16:19:03,23,9358016,5.359242,8388481,0.038709,12674240,12.902054,3120202,1.017878,116.090004,-49.360001,95.454396,,0.087844,,190.908798,
Sample,16/10/2024 16:19:04,23,9357977,5.359028,8388479,0.038698,12674566,12.898408,3120102,1.017845,115.959999,-48.970001,95.347487,,0.087197,,190.694977,
Sample,16/10/2024 16:19:05,23,9357971,5.358995,8388481,0.038709,12674905,12.894617,3120315,1.017915,115.130005,-52.579998,94.664946,,0.088574,,189.329895,
Sample,16/10/2024 16:19:06,23,9357939,5.358819,8388484,0.038725,12675238,12.890893,3120215,1.017883,115.860001,-53.159996,95.265254,,0.087928,,190.530502,
Sample,16/10/2024 16:19:07,23,9357921,5.358720,8388481,0.038709,12675572,12.887157,3120130,1.017855,114.659996,-51.779999,94.278437,,0.087378,,188.556870,
Sample,16/10/2024 16:19:08,23,9357926,5.358747,8388478,0.038692,12675923,12.883232,3120198,1.017877,114.009995,-52.690002,93.743912,,0.087818,,187.487823,
Sample,16/10/2024 16:19:09,23,9357917,5.358698,8388481,0.038709,12676247,12.879608,3120232,1.017888,113.389999,-52.790001,93.234063,,0.088037,,186.468124,
Sample,16/10/2024 16:19:10,23,9357890,5.358549,8388481,0.038709,12676628,12.875347,3120230,1.017887,112.880005,-54.379997,92.814672,,0.088025,,185.629349,
Sample,16/10/2024 16:19:11,23,9357885,5.358522,8388482,0.038714,12677035,12.870795,3120306,1.017912,112.090004,-54.180000,92.165020,,0.088515,,184.330032,
Sample,16/10/2024 16:19:12,23,9357846,5.358307,8388483,0.038720,12677437,12.866299,3120318,1.017916,111.369995,-55.230000,91.572925,,0.088593,,183.145844,
Sample,16/10/2024 16:19:13,23,9357827,5.358203,8388484,0.038725,12677906,12.861054,3120325,1.017919,110.599998,-54.879997,90.939722,,0.088638,,181.879440,
Sample,16/10/2024 16:19:14,23,9357822,5.358175,8388477,0.038687,12678398,12.855552,3120450,1.017960,110.969994,-51.490002,91.243986,,0.089445,,182.487976,
Sample,16/10/2024 16:19:15,23,9357807,5.358093,8388482,0.038714,12678894,12.850005,3120441,1.017957,110.569992,-52.700001,90.915047,,0.089387,,181.830093,
Sample,16/10/2024 16:19:16,23,9357779,5.357939,8388480,0.038703,12679440,12.843898,3120479,1.017969,110.830002,-52.529999,91.128864,,0.089633,,182.257721,
Sample,16/10/2024 16:19:17,23,9357783,5.357961,8388476,0.038681,12680000,12.837635,3120457,1.017962,112.050003,-53.629997,92.132125,,0.089491,,184.264252,
Sample,16/10/2024 16:19:18,23,9357754,5.357802,8388482,0.038714,12680588,12.831059,3120542,1.017990,111.530006,-52.959999,91.704509,,0.090039,,183.409012,
Sample,16/10/2024 16:19:19,23,9357735,5.357697,8388478,0.038692,12681196,12.824259,3120549,1.017992,109.519997,-54.070000,90.051589,,0.090084,,180.103180,
