HEADING, Timecode,,Battery        , , Ext Power      , , Temperature    , , Pressure       , , Turbidity, , , Depth       , , SSC         , , 
UNITS, [dd/MM/yyyy HH:mm:ss],[ms], Raw, V      , Raw, V      , Raw, °C     , Raw, bar    , Raw1,Raw2, FTU    , Raw, m      , Raw, mg/l   , 
Sample,11/07/2025 11:43:35,0,9123137,4.067906,8388484,0.038725,11927311,21.381343,3198967,1.043764,0.153900,2624.100098,2304.958113,,0.549592,,4609.916016,
Sample,11/07/2025 11:44:05,0,9123195,4.068225,8388487,0.038742,11924638,21.412604,3198761,1.043697,0.152100,2681.199951,2353.222330,,0.548483,,4706.444824,
Sample,11/07/2025 11:44:35,0,9122862,4.066394,8388485,0.038731,11924868,21.409913,3198704,1.043678,0.015800,2705.899902,2374.100208,,0.548176,,4748.200195,
Sample,11/07/2025 11:45:05,0,9123338,4.069011,8388486,0.038736,11920570,21.460198,3198455,1.043596,0.171100,2693.000000,2363.196438,,0.546834,,4726.393066,
Sample,11/07/2025 11:45:35,0,9123432,4.069528,8388487,0.038742,11912490,21.554800,3198387,1.043574,0.172000,2681.800049,2353.729568,,0.546468,,4707.458984,
Sample,11/07/2025 11:46:05,0,9123497,4.069885,8388487,0.038742,11906959,21.619611,3198044,1.043461,0.219900,2605.800049,2289.489816,,0.544619,,4578.979492,
Sample,11/07/2025 11:46:35,0,9123592,4.070408,8388486,0.038736,11906591,21.623925,3197972,1.043437,0.182200,2695.000000,2364.886958,,0.544231,,4729.773926,
Sample,11/07/2025 11:47:05,0,9123647,4.070710,8388487,0.038742,11902520,21.671658,3198049,1.043463,0.173400,2698.800049,2368.098987,,0.544646,,4736.197754,
Sample,11/07/2025 11:47:35,0,9123767,4.071370,8388487,0.038742,11897149,21.734670,3197674,1.043339,0.655300,2657.199951,2332.936092,,0.542624,,4665.872070,
Sample,11/07/2025 11:48:05,0,9123820,4.071661,8388491,0.038764,11892096,21.793990,3197639,1.043328,0.234400,2582.600098,2269.879827,,0.542435,,4539.759766,
Sample,11/07/2025 11:48:35,0,9123903,4.072118,8388486,0.038736,11889974,21.818912,3197508,1.043285,0.337800,2589.600098,2275.796646,,0.541728,,4551.593262,
Sample,11/07/2025 11:49:05,0,9123940,4.072321,8388483,0.038720,11885682,21.869340,3197234,1.043195,0.125000,2571.800049,2260.750979,,0.540249,,4521.501953,
Sample,11/07/2025 11:49:35,0,9124028,4.072805,8388482,0.038714,11883419,21.895940,3197148,1.043167,0.280600,2580.199951,2267.851080,,0.539784,,4535.702148,
Sample,11/07/2025 11:50:05,0,9123601,4.070457,8388487,0.038742,11879247,21.944997,3196989,1.043114,0.059200,2704.600098,2373.001536,,0.538926,,4746.002930,
Sample,11/07/2025 11:50:35,0,9123520,4.070012,8388483,0.038720,11875156,21.993128,3196976,1.043110,61.159996,2694.600098,2364.548936,,0.538855,,4729.097656,
Sample,11/07/2025 11:51:05,0,9123853,4.071843,8388486,0.038736,11871494,22.036232,3196742,1.043033,0.044400,2709.000000,2376.720597,,0.537591,,4753.441406,
Sample,11/07/2025 11:51:35,0,9123581,4.070347,8388484,0.038725,11869357,22.061395,3196511,1.042957,27.516001,2698.399902,2367.760759,,0.536342,,4735.521484,
Sample,11/07/2025 11:52:05,0,9123742,4.071232,8388486,0.038736,11862131,22.146532,3196387,1.042916,60.413002,2698.699951,2368.014378,,0.535672,,4736.028809,
